# Wohnung Kauf from immoscout24.de on 2020-06-25
ID,pulldate,publishDate,Miete/Kauf,Haus/Wohnung,address,city,postcode,quarter,lat,lon,title,numberOfRooms,livingSpace,contactDetails,courtage,balcony,builtInKitchen,garden,price,privateOffer,floorplan,from,ID,url,Provision,Hausgeld,Baujahr,Objektzustand,Renovierung in Beschr.,Bundesland,EUR/qm
114320772,2020.06.25,2019-11-06T11:40:16.000+01:00,Kauf,Wohnung,"Sandberg, Flensburg",Flensburg,24937,Sandberg,,,Neubau von 40 Wohnungen im Stadtteil Sandberg!,2,62.18,Nord-Ostsee Sparkasse,NO,true,false,false,63500,false,false,001.584705,114320772,https://www.immobilienscout24.de/expose/114320772,Nein,,2021,Erstbezug,,Schleswig-Holstein,1021.2286908973947
119703644,2020.06.25,2020-06-18T11:47:45.000+02:00,Kauf,Wohnung,"Heinz-Krey-Hof 2, Mürwik, Flensburg",Flensburg,24944,Mürwik,54.8132,9.46992,vermietete 4 Zi. Eigentumswohnung in Flensburg-Mürwik,4,77.89,Boockhoff Immobilien UG,YES,true,true,true,100000,false,false,009.7aab1f0e-9b83-45e9-bdb4-c553e470c46f,119703644,https://www.immobilienscout24.de/expose/119703644,3% zzgl. 19% Mehrwertsteuer,250 €,1960,Gepflegt,,Schleswig-Holstein,1283.8618564642445
119963386,2020.06.25,2020-06-23T21:30:36.000+02:00,Kauf,Wohnung,"Neustadt, Flensburg",Flensburg,24939,Neustadt,,,TFI - Kapitalanlage provisionsfrei!,2,50,THORE FEDDERSEN Immobilienmanagement GmbH,NO,false,false,false,68500,false,false,001.16167288,119963386,https://www.immobilienscout24.de/expose/119963386,Nein,371 €,1910,,,Schleswig-Holstein,1370.0
116647482,2020.06.25,2020-03-12T15:39:20.000+01:00,Kauf,Wohnung,"Sandberg, Flensburg",Flensburg,24937,Sandberg,,,Fabelhafte Altbau-Wohnung mit 2 Balkonen,3,78,DKB Grund GmbH Büro Schwerin,NO,false,false,false,107000,false,false,001.433525,116647482,https://www.immobilienscout24.de/expose/116647482,Nein,,1900,,,Schleswig-Holstein,1371.7948717948718
114324314,2020.06.25,2019-11-06T14:36:24.000+01:00,Kauf,Wohnung,"Westliche Höhe, Flensburg",Flensburg,24939,Westliche Höhe,,,"TFI: Westliche Höhe - gepflegte 2,5 Zimmer Wohnung!",2.5,57.8,THORE FEDDERSEN Immobilienmanagement GmbH,YES,true,true,false,97000,false,false,001.16167288,114324314,https://www.immobilienscout24.de/expose/114324314,"5,95 % inkl. gesetzl. MwSt.",291 €,1972,Gepflegt,,Schleswig-Holstein,1678.2006920415226
119718088,2020.06.25,2020-06-17T15:01:13.000+02:00,Kauf,Wohnung,"Altstadt, Flensburg",Flensburg,24939,Altstadt,,,Anlageobjekt unweit von Förde und Stadtpark: Vermietetes Apartment in Flensburg-Duburg,1,46.07,McMakler GmbH,YES,false,true,false,85000,false,true,009.06041d57-de1b-4a48-987b-3b0882138407,119718088,https://www.immobilienscout24.de/expose/119718088,"Die Courtage i.H.v. % 5,95 inkl. MwSt. ist bei Kaufvertragsabschluss verdient und fällig.",,1900,Renovierungsbedürftig,,Schleswig-Holstein,1845.018450184502
118968079,2020.06.25,2020-05-30T16:49:44.000+02:00,Kauf,Wohnung,"Nordstadt, Flensburg",Flensburg,24939,Nordstadt,,,Bezugsfreie Wohnung mit Fördeblick,3,68,REALTIS Immobilien,YES,true,true,false,132500,false,false,009.2a1060dc-0fbb-48f3-a8b2-a0d0bee18214,118968079,https://www.immobilienscout24.de/expose/118968079,"Die Courtage i.H.v. % 5,95 inkl. MwSt. ist bei Kaufvertragsabschluss verdient und fällig.",275 €,unbekannt,Gepflegt,,Schleswig-Holstein,1948.5294117647059
116567347,2020.06.25,2020-03-10T10:20:11.000+01:00,Kauf,Wohnung,"Engelsby, Flensburg",Flensburg,24943,Engelsby,,,Vermietete 3-Zimmer Eigentumswohnung mit Balkon & PKW-Stellplatz ,3,69,LBS Immobilien Schleswig-Flensburg,YES,true,false,false,136000,false,false,001.12909076,116567347,https://www.immobilienscout24.de/expose/116567347,"4,99 % inkl. ges. MwSt.",312 €,1971,Gepflegt,,Schleswig-Holstein,1971.0144927536232
115610226,2020.06.25,2020-06-10T12:23:20.000+02:00,Kauf,Wohnung,"Mürwik, Flensburg",Flensburg,24944,Mürwik,,,"Fl-Solitüde, 2 strandnahe 1 Zimmer-Wohnungen mit großem Balkon und 1 Garage -ohne Courtage-",2,48,Bock Immobilien,NO,true,false,false,98500,false,false,009.d71e8122-4f9d-4207-9cb2-119b82d2617e,115610226,https://www.immobilienscout24.de/expose/115610226,Nein,297 €,1972,,,Schleswig-Holstein,2052.0833333333335
119926808,2020.06.25,2020-06-22T23:31:25.000+02:00,Kauf,Wohnung,"Pellwormer Weg 5, Weiche, Flensburg",Flensburg,24941,Weiche,54.76411,9.39764,FLENSBURG - vermietete Eigentumswohnung zur Kapitalanlage  im Pellwormer Weg,3,71.4,KONTORCONSULT Immobilien,YES,true,true,true,149000,false,false,001.15912782,119926808,https://www.immobilienscout24.de/expose/119926808,"5,95",262 €,unbekannt,Modernisiert,,Schleswig-Holstein,2086.8347338935573
117869863,2020.06.25,2020-04-30T12:12:11.000+02:00,Kauf,Wohnung,"Friesischer Berg, Flensburg",Flensburg,24937,Friesischer Berg,,,"schöne 2 Zimmer Wohnung in bevorzugter Wohnlage ""Westliche Höhe""",2,77,Immobilien Ohm-Sarkany e.K.,YES,false,false,false,168000,false,true,001.13038976,117869863,https://www.immobilienscout24.de/expose/117869863,"5,95% des Kaufpreises inkl. MwSt.",302 €,1972,,,Schleswig-Holstein,2181.818181818182
119436428,2020.06.25,2020-06-10T22:33:59.000+02:00,Kauf,Wohnung,"Am Goldregen 5, Mürwik, Flensburg",Flensburg,24944,Mürwik,54.80294,9.48234,Gepflegte 3-Zimmer-Wohnung mit Balkon und EBK in Flensburg,3,84.1,,NO,true,true,true,189000,true,true,009.6dba8b86-bade-4e7b-a4f8-d499a2a08cfe,119436428,https://www.immobilienscout24.de/expose/119436428,Nein,366 €,1970,Gepflegt,,Schleswig-Holstein,2247.3246135552913
115275000,2020.06.25,2020-01-13T15:21:24.000+01:00,Kauf,Wohnung,"Marienhölzungsweg 32, Westliche Höhe, Flensburg",Flensburg,24939,Westliche Höhe,54.79125,9.41819,Dachgeschoss-Rohbau auf der Westlichen Höhe - 24939 Flensburg,4,88,Tim Kania Immobilien e.K.,YES,true,false,false,200000,false,false,002.01006682493,115275000,https://www.immobilienscout24.de/expose/115275000,"5,95 % inkl. 19 % MwSt.",325 €,1903,,,Schleswig-Holstein,2272.7272727272725
119995084,2020.06.25,2020-06-24T16:40:09.000+02:00,Kauf,Wohnung,"Fruerlund, Flensburg",Flensburg,24943,Fruerlund,,,Top-Lage! Gut geschnittene 3-Zimmer-Eigentumswohnung mit sonnigem Balkon in ruhiger Wohnlage!,3,82,Nord-Ostsee Sparkasse,YES,true,true,false,189000,false,false,001.584705,119995084,https://www.immobilienscout24.de/expose/119995084,"3,57 % inkl. ges. MwSt.","347,41 €",1984,Gepflegt,,Schleswig-Holstein,2304.878048780488
115757159,2020.06.25,2020-02-11T12:00:12.000+01:00,Kauf,Wohnung,"Mürwik, Flensburg",Flensburg,24944,Mürwik,,,Weitblick über Flensburg!,3,70,Nord-Ostsee Sparkasse,YES,false,false,false,169000,false,false,001.584705,115757159,https://www.immobilienscout24.de/expose/115757159,"5,95 % inkl. ges. MwSt.",269 €,1981,Modernisiert,,Schleswig-Holstein,2414.285714285714
119668996,2020.06.25,2020-06-16T14:33:12.000+02:00,Kauf,Wohnung,"Marienhölzungsweg 12b, Westliche Höhe, Flensburg",Flensburg,24937,Westliche Höhe,54.79027,9.42006,Kapitalanlage - Westl. Höhe - 3 Zi. ETW mit Kamin und Wintergarten,3,112,Wohngut Immobilienverwaltung,YES,true,true,false,289000,false,true,001.15532160,119668996,https://www.immobilienscout24.de/expose/119668996,"5,95 % inkl. 19 % MwSt.",400 €,unbekannt,Saniert,,Schleswig-Holstein,2580.3571428571427
119546124,2020.06.25,2020-06-13T17:31:00.000+02:00,Kauf,Wohnung,"Nordstadt, Flensburg",Flensburg,24939,Nordstadt,,,"FLENSBURG, GROßZÜGIGE 3 ZIMMER EIGENTUMSWOHNUNG MIT GROßEM ECKBALKON UND TIEFGARAGENPARKPLATZ",3,86,IMMOBILIEN PETERSEN,YES,true,true,true,249000,false,true,001.594109,119546124,https://www.immobilienscout24.de/expose/119546124,"5,95 % incl. Mwst.",244 €,1983,Gepflegt,,Schleswig-Holstein,2895.3488372093025
117852126,2020.06.25,2020-04-30T00:43:45.000+02:00,Kauf,Wohnung,"Westliche Höhe, Flensburg",Flensburg,24937,Westliche Höhe,,,Sonnige 3-4 Zimmer-Wohnung mit Balkon und Einbauküche Friesischer Berg/ Westliche Höhe,4,97,,NO,true,true,true,290000,true,false,009.dda03d2f-5cbe-4231-8081-f2f999ef37a4,117852126,https://www.immobilienscout24.de/expose/117852126,Nein,,1968,Gepflegt,,Schleswig-Holstein,2989.6907216494847
83869729,2020.06.25,2020-06-22T11:50:49.000+02:00,Kauf,Wohnung,"Westliche Höhe, Flensburg",Flensburg,24937,Westliche Höhe,,,Westliche Höhe - Erdgeschosswohnung mit Garten,3,153.48,Densch & Schmidt Immobilien GmbH,YES,true,true,true,494000,false,true,001.459710,83869729,https://www.immobilienscout24.de/expose/83869729,"3,57%",422 €,1885,Gepflegt,,Schleswig-Holstein,3218.6604117800366
119946684,2020.06.25,2020-06-23T14:40:38.000+02:00,Kauf,Wohnung,"Wrangelstraße 4, Westliche Höhe, Flensburg",Flensburg,24937,Westliche Höhe,54.78892,9.42321,"Provisionsfrei! Stilvolle, geräumige 3 Zimmerwohnung mit Terrasse & Garten!",3,153.48,,NO,true,true,true,494000,true,true,009.0debcfea-a10b-4975-9adf-c1a483d94799,119946684,https://www.immobilienscout24.de/expose/119946684,Nein,422 €,1885,,,Schleswig-Holstein,3218.6604117800366
118729080,2020.06.25,2020-06-10T21:28:11.000+02:00,Kauf,Wohnung,"Mürwik, Flensburg",Flensburg,24944,Mürwik,,,TOP LAGE! Wohnungspaket aus zwei Eigentumswohnung in Strandnähe,5,107,,YES,true,true,false,349000,true,false,009.d0e227fb-1c78-4e2d-ba9e-acd41353570d,118729080,https://www.immobilienscout24.de/expose/118729080,"3,99 % inkl. gesetzl. MwSt. des beurkundeten Kaufpreises.",427 €,1961,Gepflegt,,Schleswig-Holstein,3261.6822429906542
113571065,2020.06.25,2019-09-18T08:09:51.000+02:00,Kauf,Wohnung,"Friesischer Berg, Flensburg",Flensburg,24937,Friesischer Berg,,,Dachgeschosswohnung mit Maisonette-Charakter auf der westlichen Höhe!,3,91,Nord-Ostsee Sparkasse,YES,false,true,false,298000,false,false,001.584705,113571065,https://www.immobilienscout24.de/expose/113571065,"5,95 % inkl. ges. MwSt.",,1918,,,Schleswig-Holstein,3274.7252747252746
118153792,2020.06.25,2020-05-08T17:04:53.000+02:00,Kauf,Wohnung,"Tarup, Flensburg",Flensburg,24943,Tarup,,,Neuwertige Eigentumswohnung / Penthouse im Staffelgeschoss mit eigenem Stellplatz in 24943 Flensburg,3,112.46,Richardsen Immobilien-Vermietungen GmbH & Co.KG,YES,false,false,false,399000,false,false,001.492963,118153792,https://www.immobilienscout24.de/expose/118153792,"4,76% inkl. der gesetzlichen MwSt.",,2016,Neuwertig,,Schleswig-Holstein,3547.9281522319047
118381516,2020.06.25,2020-05-15T10:54:36.000+02:00,Kauf,Wohnung,"Tarup, Flensburg",Flensburg,24943,Tarup,,,Neuwertige Eigentumswohnung im Staffelgeschoss mit großer umlaufender Dachterrasse.,3,112,Examina Immobilien GmbH,YES,true,false,false,399000,false,true,002.01008091559,118381516,https://www.immobilienscout24.de/expose/118381516,"4,76 %",261 €,2016,Neuwertig,,Schleswig-Holstein,3562.5
116575983,2020.06.25,2020-03-10T16:50:19.000+01:00,Kauf,Wohnung,"Swinemünder Straße 5, Mürwik, Flensburg",Flensburg,24944,Mürwik,54.80771,9.45478,"Hochwertig 3-Zi.-Neubauwhg. im 1. OG! Insges. 4 WE!
Fahrstuhl! Überd. S/W-Balkon! Blick ins Grüne!",3,132,Brocks Immobilien-Beratung-Sachverstand,YES,true,false,false,499900,false,true,002.01005669474,116575983,https://www.immobilienscout24.de/expose/116575983,"Die Käuferprovision von 3,57% des Preises ist verdient und fällig bei Abschluss des Kaufvertrages.",350 €,2020,Erstbezug,,Schleswig-Holstein,3787.121212121212
